Date,Open,High,Low,Close
03-10-2023,17443.8,17451.5,17324.35,17412.9
03-09-2023,17772.05,17772.35,17573.6,17589.6
03-08-2023,17665.75,17766.5,17602.25,17754.4
03-06-2023,17680.35,17799.95,17671.95,17711.45
03-03-2023,17451.25,17644.75,17427.7,17594.35
03-02-2023,17421.5,17445.8,17306,17321.9
03-01-2023,17360.1,17467.75,17345.25,17450.9
02/28/2023,17383.25,17440.45,17255.2,17303.95
02/27/2023,17428.6,17451.6,17299,17392.7
02/24/2023,17591.35,17599.75,17421.8,17465.8
02/23/2023,17574.65,17620.05,17455.4,17511.25
02/22/2023,17755.35,17772.5,17529.45,17554.3
02/21/2023,17905.8,17924.9,17800.3,17826.7
02/20/2023,17965.55,18004.35,17818.4,17844.6
02/17/2023,17974.85,18034.25,17884.6,17944.2
02/16/2023,18094.75,18134.75,18000.65,18035.85
02/15/2023,17896.6,18034.1,17853.8,18015.85
02/14/2023,17840.35,17954.55,17800.05,17929.85
02/13/2023,17859.1,17880.7,17719.75,17770.9
02-10-2023,17847.55,17876.95,17801,17856.5
02-09-2023,17885.5,17916.9,17779.8,17893.45
02-08-2023,17750.3,17898.7,17744.15,17871.7
02-07-2023,17790.1,17811.15,17652.55,17721.5
02-06-2023,17818.55,17823.7,17698.35,17764.6
02-03-2023,17721.75,17870.3,17584.2,17854.05
02-02-2023,17517.1,17653.9,17445.95,17610.4
02-01-2023,17811.6,17972.2,17353.4,17616.3
01/31/2023,17731.45,17735.7,17537.55,17662.15
01/30/2023,17541.95,17709.15,17405.55,17648.95
01/27/2023,17877.2,17884.75,17493.55,17604.35
01/25/2023,18093.35,18100.6,17846.15,17891.95
01/24/2023,18183.95,18201.25,18078.65,18118.3
01/23/2023,18118.45,18162.6,18063.45,18118.55
01/20/2023,18115.6,18145.45,18016.2,18027.65
01/19/2023,18119.8,18155.2,18063.75,18107.85
01/18/2023,18074.3,18183.75,18032.45,18165.35
01/17/2023,17922.8,18072.05,17886.95,18053.3
01/16/2023,18033.15,18049.65,17853.65,17894.85
01/13/2023,17867.5,17999.35,17774.25,17956.6
01-12-2023,17920.85,17945.8,17761.65,17858.2
01-11-2023,17924.25,17976.35,17824.35,17895.7
01-10-2023,18121.3,18127.6,17856,17914.15
01-09-2023,17952.55,18141.4,17936.15,18101.2
01-06-2023,18008.05,18047.4,17795.55,17859.45
01-05-2023,18101.95,18120.3,17892.6,17992.15
01-04-2023,18230.65,18243,18020.6,18042.95
01-03-2023,18163.2,18251.95,18149.8,18232.55
